country,ssp,esm,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IDN,ssp126,gfdl-esm4,-0.01837237760255944,-0.025717027745936535,-0.02964592018641679,0.0006438219041247649,-0.004603376996789705,-0.009832300290032523,-0.009892760225530725,-0.01486806925317864,-0.008617852621866285,-0.008662871071558798,-0.0061243562514301225,-0.0038593183541950566,-0.005990158396793805,-0.0026038981514542978,-0.002809404539158707,-0.004368434652198374,-0.004232812685128887
IND,ssp126,gfdl-esm4,-0.009744332888944805,-0.008223881639440527,-0.0068346976456607955,-0.0004475676398936968,-0.0021946303113680263,-0.003896493858618191,8.003784459346637e-06,-0.0018225721189115824,-0.001969612718285491,-0.0015908411265865188,-4.757471966447409e-05,-0.0002602437042726883,-0.000543190706467197,-0.0005559348123770139,-0.0008567723026392597,-0.0004185682491341617,-0.0006787927167365978
IRN,ssp126,gfdl-esm4,-0.000909638312099612,-0.00022825606176016982,-4.7182965640873323e-05,-0.00021893290763573404,-0.00012342657538937218,-6.493570644868876e-05,-0.00017494811403762463,-0.00012132015106992058,-5.349477345060734e-05,-0.00016082242681686738,-0.00011632003887125844,-9.474822856913437e-05,-6.070337617183709e-05,-5.68880248297845e-05,-5.6312093558644887e-05,-5.1779724675547455e-05,-6.636946916526788e-05
IRQ,ssp126,gfdl-esm4,-0.012046170139956116,-0.01586025397951083,-0.006071411600351094,-0.008625212541751803,-0.008368373516426764,-0.007016046173013452,-0.006752266439227167,-0.006600884151398963,-0.0032209185264004724,-0.006089472177355629,-0.005263238806651145,-0.003876029069849395,-0.003103856473719128,-0.0024597445618356555,-0.0019827700149837816,-0.0021352991984644196,-0.0021817536917223966
ITA,ssp126,gfdl-esm4,0.000880651521750829,-0.0014335719235997408,-0.0012772975794779992,-3.4443556034887806e-05,0.0007734774548157927,0.0004926560625673521,0.0004781112280809228,0.0005020000068545385,0.00021214122959062795,0.00013095697298499213,-2.394311715480866e-05,-0.0006097957183513708,-0.0004123453021235793,-0.00014768405329635304,0.00039701309413537716,0.00044720913699790874,0.00019087799919198186
JAM,ssp126,gfdl-esm4,-0.005159860412111322,-0.004179570954244836,-0.0043084582379561,-0.0005721179727589975,-0.0014514085265868247,-0.001782874253191106,-0.0027193371498730485,-0.0018624955314922658,-0.0014882624900340456,-0.001648501911114864,-0.000754588564767287,-0.0017320825680315136,-0.0010393724538448389,-0.0016290774431424512,-0.000625704644400726,-0.001536529887612487,-0.0007541335935291187
KAZ,ssp126,gfdl-esm4,-0.0020968341552874484,-0.00404459103535246,-0.0025212431096505823,-0.0019476289861107502,-0.0010574829303351412,-0.0022682031379987057,-0.0028756562592899444,-0.0007700548471505204,-0.0020552924880389858,-0.002034352405710557,-0.00035387063417994315,-0.0018044837155847516,-0.0013081095691639484,-0.001852290335631636,-0.00107113000382686,-0.001956225886416711,-0.0012778607137581789
KEN,ssp126,gfdl-esm4,-0.23880071251116117,-0.09889864160450174,-0.03734818971755782,-0.04494117747833889,-0.0031157677429333158,-0.024853989088859975,-0.012502906364655878,-0.014906071193985165,-0.010844037116133517,-0.011254189402994365,-0.007077129092216312,-0.006019899174978288,-0.005225922696675497,-0.0020432475378437598,-0.0059917487024396515,-0.002688735274397777,-0.004330987647533001
KGZ,ssp126,gfdl-esm4,0.017485844110316968,-0.024492147136767027,0.007140526752959465,-0.007302411924912937,0.0015150480653823145,-0.01768219073511697,-0.0009261851166705571,0.0057436397750999044,0.005001457138096833,-0.0014809643761985612,0.0013471480455773224,-0.006026213656419383,-8.529741636146156e-05,-0.0015298283368688386,-0.0025085689593106254,-0.006895411574500111,4.036024385981163e-05
KHM,ssp126,gfdl-esm4,-0.08708991806578306,-0.05420002198081097,-0.08550988196445797,-0.011127121621585325,-0.0553198703319009,-0.03396005993228486,-0.014534713359798699,-0.023006877650109395,-0.02040356547063612,-0.012845501155224008,-0.009144518562075387,-0.011094423081862299,-0.008421988566865875,-0.0013663380624589785,-0.007952833188246338,-0.006126461833429167,-0.0062118818468366
