country,ssp,esm,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
EGY,ssp126,gfdl-esm4,-0.0855226697670828,-0.030822169882261552,-0.015351249603575947,-0.014330403403895998,-0.01099642840362686,-0.012955836438698848,-0.011604607178434537,-0.008670047111162985,-0.006922132118084622,-0.007029447916404438,-0.004598622787416605,-0.004555179057009887,-0.004316466172404805,-0.0037130903962777385,-0.0041009577675874855,-0.002955728340946836,-0.0031650382799985745
ERI,ssp126,gfdl-esm4,-0.26369247189154865,-0.08744262927168658,-0.12023008994190909,-0.04329626962012217,-0.1240966294662884,-0.10518240583674994,-0.054715300977662126,-0.11729017354858316,-0.05275227654091645,-0.06522693029214806,-0.05740615599574831,-0.05154207186741494,-0.04533645400551632,-0.014298661556485615,-0.030036441279757305,-0.02732888213660114,-0.031969075606469534
ESP,ssp126,gfdl-esm4,0.0026299408452132144,-0.00592900794594531,-0.010501876079730844,-0.007445649947339127,-0.005649239115265319,-0.004915902081528327,6.9054495068180405e-06,-0.003762360751659934,-0.0019367147614452658,-0.001868054513082585,-0.003713391405985189,-0.004594233012569444,-0.004859549271331318,-0.004121604227782131,-0.0007928680872316849,-0.0009476636892878536,-0.0018068823208602246
ETH,ssp126,gfdl-esm4,-0.14264216184340556,-0.016685361966800104,-0.017347772681232575,-0.015003197745466431,-0.007493096631737769,-0.0064279912699975045,-0.00762203222480232,-0.007648170720743151,-0.001804103203693173,-0.004703411916895606,-0.0030854404616822624,-0.0023676725265077267,-0.00245924516129033,-7.508195982809092e-05,-0.002212304702744342,-0.0009677929807738874,-0.0020457968798032115
FRA,ssp126,gfdl-esm4,0.0020127684385210184,-0.002462914467054854,-0.008423951703229134,-0.006020600201010103,-0.009601578476353604,0.00038254439798719123,0.00047967635208804563,-0.0018459425601609,-0.0017891182658583244,-0.001134368464587332,-0.004073704472743911,-0.0019286599319937585,-0.0031173199901654313,-0.0026735462703443014,-0.0003490251317270333,-0.00010698778259308285,-0.00014772041720268503
GEO,ssp126,gfdl-esm4,-0.004887417910936152,-0.012420456308121372,-0.009340873472921753,-0.0016213053913937895,-0.009663037136287063,-0.007957104436297616,-0.005067287014524329,-0.010512596233338964,-0.004413809552674408,-0.013213249516649527,-0.0072118477736737,-0.015402233310716211,-0.008465453234012278,-0.010513952814027117,-0.008733155577548097,-0.004934859005322967,-0.006015600819945726
GHA,ssp126,gfdl-esm4,-0.12145075592629637,-0.02860308826929469,-0.025565269121042532,-0.013834378309066957,-0.007730097243067384,-0.012383453965419103,-0.012664089437604723,-0.007676415513230922,-0.01248391405562273,-0.010268471511452113,-0.009728555710402091,-0.006381353394008924,-0.003462233073797663,-0.002117667558248627,-0.006231164066233145,-0.005641527901164665,-0.002582240112083966
GIN,ssp126,gfdl-esm4,-0.0396115918562709,-0.043372562215410866,-0.009385040162459658,-0.009329701494898297,-0.0020868949631465644,-0.003406067156847736,-0.0021172442656581633,-0.002185178016997827,-0.002406935413148987,-0.0016715030064779189,-0.0018014425271219204,-0.002343277068087145,-0.0014186101501605295,-0.0008311206630195796,-0.001466033850260593,-0.001338079095594382,-0.0007216437187148771
GMB,ssp126,gfdl-esm4,-0.04670795499427276,-0.03588648137413663,-0.024869210800159695,0.0011556075639149515,-0.0033594466683228566,-0.0034880644569203973,-0.00388766343439381,-0.004153882141777273,-0.0021221414139588543,-0.0022903538236907174,-0.0027198087640833753,-0.002265201438432092,-0.0013025701131037168,-0.00081761179840256,-0.001367085020233171,-0.0006921176229937118,-0.0006936929529918189
GNB,ssp126,gfdl-esm4,-0.1626163487894418,-0.16751386558182876,-0.07867573279137798,-0.004657810301632502,-0.008978041574941501,-0.02447722910035611,-0.026766572515505817,-0.012613508496465618,-0.007254763521137438,-0.007837003048780145,-0.009687702723123592,-0.0063296288017741205,-0.006247117398121581,-0.0029124578857479995,-0.0037179268499737002,-0.0020048095714582867,-0.002736445428769639
