country,date,tmax,tmax2,tmax3
MKD,2011,295.29356938469357,87237.5042946082,25783782.10348784
MKD,2012,296.6853503891717,88066.05274220216,26153815.402603038
MKD,2013,296.4469046447586,87917.71145851632,26084780.34660335
MKD,2014,294.76549686677333,86922.87089206307,25643083.41713406
MKD,2015,296.20089089381116,87777.24310301257,26024601.18190869
MKD,2016,296.1194289898274,87723.12332577251,25998051.059704784
MKD,2017,296.37436549350923,87884.6321916598,26074430.074874964
MKD,2018,297.1830239108347,88336.41426471648,26263161.785252348
MKD,2019,295.7409669519537,87505.2477803525,25904008.162417114
MLI,1971,309.45782470703125,95772.0703125,29642294.0
MLI,1972,310.5751647949219,96469.015625,29968332.0
MLI,1973,310.0542297363281,96147.2265625,29819244.0
MLI,1974,309.4523010253906,95770.125,29642102.0
MLI,1975,309.1680603027344,95595.1796875,29561306.0
MLI,1976,309.3037109375,95678.1328125,29599322.0
MLI,1977,309.8818054199219,96039.21875,29768498.0
MLI,1978,309.8067321777344,95989.4921875,29743914.0
MLI,1979,309.6623229980469,95901.375,29703612.0
MLI,1980,310.320556640625,96309.7578125,29893632.0
MLI,1981,309.93353271484375,96071.6328125,29783714.0
MLI,1982,310.1744079589844,96226.015625,29857792.0
MLI,1983,311.0330505371094,96750.1953125,30097862.0
MLI,1984,311.2217102050781,96869.203125,30154168.0
MLI,1985,310.0567321777344,96144.6796875,29816142.0
MLI,1986,309.8450927734375,96015.453125,29756996.0
MLI,1987,311.34088134765625,96939.4609375,30185162.0
MLI,1988,309.3564758300781,95714.125,29617548.0
MLI,1989,310.10821533203125,96173.90625,29828536.0
MLI,1990,311.3006286621094,96915.265625,30174228.0
MLI,1991,309.9035949707031,96047.5703125,29770024.0
MLI,1992,309.8188781738281,95998.8359375,29749132.0
MLI,1993,310.49737548828125,96419.734375,29944928.0
MLI,1994,308.96978759765625,95473.2421875,29505106.0
MLI,1995,310.104736328125,96174.8125,29830326.0
MLI,1996,309.5567321777344,95835.0078125,29672300.0
MLI,1997,310.92193603515625,96682.6015625,30066994.0
MLI,1998,309.70660400390625,95929.40625,29716882.0
MLI,1999,309.3832702636719,95724.078125,29619182.0
MLI,2000,310.1534729003906,96203.40625,29842914.0
MLI,2001,309.9486083984375,96075.09375,29782638.0
MLI,2002,310.3726806640625,96340.6015625,29907274.0
MLI,2003,310.4144592285156,96364.15625,29917132.0
MLI,2004,310.7330627441406,96561.7734375,30009080.0
MLI,2005,310.8305358886719,96622.6484375,30037634.0
MLI,2006,309.8768615722656,96034.0234375,29765126.0
MLI,2007,310.4118957519531,96369.03125,29922390.0
MLI,2008,309.9232177734375,96063.0234375,29778724.0
MLI,2009,310.3526611328125,96327.7734375,29901182.0
MLI,2010,309.87359619140625,96028.65625,29761100.0
MLI,2011,310.87847900390625,96651.828125,30050926.0
MLI,2012,310.06671142578125,96151.6875,29819822.0
MLI,2013,309.8374938964844,96008.515625,29752764.0
MLI,2014,310.44354248046875,96382.9296875,29926194.0
MLI,2015,310.0601501464844,96149.0859375,29819258.0
MLI,2016,310.51617431640625,96427.3515625,29946636.0
MLI,2017,310.62432861328125,96497.3671875,29980556.0
MLI,2018,310.2016296386719,96233.15625,29856724.0
MLI,2019,310.37774658203125,96342.9296875,29908026.0
MMR,1971,302.0483397299526,91242.52623599897,27565288.41635526
MMR,1972,302.66231506585416,91614.35412105997,27734171.041788902
MMR,1973,302.5902487626319,91570.40516656672,27714070.24702211
MMR,1974,302.23301319109703,91356.11019051529,27617648.78188194
MMR,1975,302.45375092181945,91488.37255429314,27677085.853884764
MMR,1976,302.02063315620467,91225.96758666624,27557855.91060182
MMR,1977,301.51523103040057,90922.40907667085,27421096.807987757
MMR,1978,302.93729991517796,91781.5780033045,27810453.593814813
MMR,1979,303.033868775996,91837.94558954875,27835093.494471934
MMR,1980,302.666967751818,91614.79180880461,27733276.953146156
MMR,1981,302.1512772207133,91306.10941393212,27594732.534047168
MMR,1982,302.17845962589416,91323.9630879702,27603448.208873566
MMR,1983,302.50853067312426,91519.85629733648,27690640.05985997
MMR,1984,302.451134190373,91487.94498063604,27677412.385972146
MMR,1985,302.1283623906721,91293.2110374287,27589296.509607658
MMR,1986,302.7065548539417,91641.55129961645,27746715.237962857
MMR,1987,303.0717670027699,91863.99068082694,27848314.934416644
MMR,1988,302.73529426555064,91659.28728803736,27754919.80150037
MMR,1989,302.65528888327555,91610.23476267271,27732358.34859216
MMR,1990,302.5448597884213,91547.82991563666,27706019.996647414
MMR,1991,302.28006123209565,91384.2021107634,27630221.91396075
MMR,1992,302.4171806658681,91465.19295321421,27666087.778207608
MMR,1993,302.77449168646785,91682.66066306789,27765381.235649925
MMR,1994,302.68294456632333,91626.48649970043,27739528.51245296
MMR,1995,302.54701828326586,91543.57465349059,27701588.946593992
MMR,1996,302.13135762964225,91295.28986366994,27590337.861781072
MMR,1997,302.5970607731602,91578.22490290353,27719301.671090983
MMR,1998,303.18358795172185,91934.04977598973,27881209.02517217
MMR,1999,302.3354413912783,91416.85526070237,27644672.8256468
MMR,2000,302.27281951932645,91381.42858957627,27629690.99651232
MMR,2001,302.2603485896963,91372.01325313943,27624572.198922396
MMR,2002,302.53451600509914,91538.06177559748,27700006.996579718
MMR,2003,302.75309744164565,91670.6057213312,27760306.68162346
MMR,2004,302.3623398209005,91435.7431963045,27654423.5418239
MMR,2005,303.0026743484401,91819.78430511116,27827185.469153397
MMR,2006,302.8214736266837,91713.31371541128,27780280.277236987
MMR,2007,302.4030341756433,91459.49643628635,27664798.37383671
MMR,2008,302.40213110165854,91457.74978835195,27663488.011206336
MMR,2009,303.0742328658601,91865.72272788282,27849216.30587873
MMR,2010,302.9569345619137,91792.88267243617,27815314.283200644
MMR,2011,302.60000268361847,91577.703707634,27718005.270579483
MMR,2012,302.89481146287915,91756.16076142134,27799047.968864124
MMR,2013,302.59952517215277,91575.3249392475,27715997.874201715
MMR,2014,303.2621597255848,91976.07196763014,27897777.71009353
MMR,2015,302.83732782585804,91721.71731561172,27783573.867446035
MMR,2016,303.03449742806134,91841.46086081376,27838112.53875053
MMR,2017,302.6439709884745,91606.08466879322,27731692.616247248
MMR,2018,302.62425199972114,91592.22434787515,27724546.47203302
MMR,2019,303.57532244208994,92167.41360908373,27985467.40155222
MNE,1971,292.0152748911849,85298.15783120667,24923049.39123396
MNE,1972,291.5209473224605,85009.26690211894,24796416.26026677
MNE,1973,290.87603977168146,84645.56749594833,24642581.892961565
MNE,1974,289.60414640935664,83904.77801652276,24319005.885553427
MNE,1975,290.93120098419143,84668.10365785885,24648357.647654325
MNE,1976,290.04885854407496,84154.0135441361,24423626.11252668
MNE,1977,290.7212980616133,84551.38392280045,24599633.987247463
MNE,1978,289.6667476083654,83940.1674265464,24333971.848811626
MNE,1979,291.18548909665697,84823.89953365127,24719731.567732126
MNE,1980,288.9327584598824,83520.38931542737,24153869.14987781
MNE,1981,290.920395295404,84665.40324875363,24648704.228078872
MNE,1982,291.210788288804,84841.47591902326,24728639.42336519
MNE,1983,291.81047049842834,85184.38838534831,24875741.28674969
MNE,1984,289.752822769018,83990.66695218791,24356252.61575809
MNE,1985,291.3705275286843,84929.00440443133,24764559.65109098
MNE,1986,291.4797547700645,84983.27056217116,24784109.839702457
MNE,1987,290.52741514660863,84440.1546954189,24551930.352840755
MNE,1988,291.80252638688313,85185.41397745493,24878725.307201684
MNE,1989,290.5889860777217,84467.79379941116,24560428.489581794
MNE,1990,291.36202055201915,84923.90733811159,24762258.0763288
MNE,1991,290.0396938793203,84166.64861120323,24436990.172836546
MNE,1992,291.03012323952464,84728.29954824067,24675713.12285927
MNE,1993,291.9841170721562,85283.82991885178,24918461.718220964
MNE,1994,292.166496792515,85403.67745679243,24976774.30599207
MNE,1995,291.1801563907726,84825.23338566607,24722218.289082948
MNE,1996,291.49933333050296,85004.37652383427,24797536.448576104
MNE,1997,290.3348570326163,84341.04644965663,24514060.868953303
MNE,1998,291.8130071221409,85190.68097833935,24880693.3683896
MNE,1999,291.8285792501761,85190.92419852589,24876856.756281108
MNE,2000,293.2929021953859,86048.8262343682,25253954.205192983
MNE,2001,291.4028119716695,84953.63385161353,24777775.73569957
MNE,2002,292.26990590783305,85459.68076225571,24999412.030888736
MNE,2003,292.9939441600888,85891.68221713144,25192498.938223407
MNE,2004,290.6175099645972,84495.29824755152,24577267.692741737
MNE,2005,291.4160302569094,84957.64342644461,24778009.440761987
MNE,2006,291.86537544464073,85232.47428750372,24903900.948342796
